base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re,vis_improvement
2.9793017704811193,"60,30,15",40.93328581559948,True,map,15.9,3.8820593978513176,1.4610966885267462,points,0.0518179367555737,15.0,0.3456880716285821,6.341369059998504,
2.101579655988847,"60,30,15",40.93328581559948,True,map,15.9,3.6307813736278924,1.4964130503313517,points,0.2285733329652314,15.0,0.34005098615064205,6.317362978868031,
2.0995005363295194,"60,30,15",40.93328581559948,True,map,15.9,3.5749406015406353,1.521455341750012,points,0.23349442998382314,15.0,0.3382766405961329,6.376398437096614,
1.4728145564343524,"60,30,15",40.93328581559948,True,map,15.9,2.4982218610428446,1.5447278461213914,points,0.24897570080905684,15.0,0.3533735497690407,6.7865604054862265,
2.3472826745148034,"60,30,15",40.93328581559948,True,map,15.9,3.573673535062002,1.3598233378378002,points,0.2101089231306824,15.0,0.340867130366376,6.37121777303961,
1.7842009415539144,"180,90,30,15",71.0,False,const71,,2.684656075463278,1.7272437028938765,points,0.13055990961500877,,0.37364315387938274,7.244805749325963,
2.527559177361291,"45,30,15",15.0,False,const15,,3.642240845214928,1.9915969058631406,points,0.35121170525555334,,0.3534729406812511,6.767799885452223,
0.2410510225907594,"60,30,15",40.93328581559948,True,map,15.9,3.738122441700054,1.6910739873667207,points,0.28969866544373735,15.0,0.3518864476256453,6.714921910002478,
2.1555143215292816,"60,30,15",40.93328581559948,True,map,15.9,2.257053786822757,1.3092907640486446,points,0.48353393335678113,15.0,0.35885078151137745,6.9514086945740265,
2.984533854497656,"60,30,15",40.93328581559948,True,map,15.9,3.9188175503348406,1.545682959091057,points,0.050190628482483804,15.0,0.33847686460514115,6.253252563294992,
2.686909467144626,"60,30,15",40.93328581559948,True,map,15.9,3.356711913053539,1.6325794527954889,points,0.09810050302084358,15.0,0.3388957066970479,6.182533349677258,
2.998149836338751,"60,30,15",40.93328581559948,True,map,15.9,3.3485498724928844,1.6614082950520925,points,0.09559521240898146,15.0,0.3437203142473646,6.294497531951207,
